EVENT,BOUT,DIVISION,ROUNDS,WINNER,METHOD OF WIN,FINAL ROUND,TIME,RED_FIGHTER,BLUE_FIGHTER,RED_FIGHTER_KD,RED_FIGHTER_SS_LANDED,RED_FIGHTER_SS_ATTEMPTED,RED_FIGHTER_SS_PERCENT,RED_FIGHTER_TS_LANDED,RED_FIGHTER_TS_ATTEMPTED,RED_FIGHTER_TD_LANDED,RED_FIGHTER_TD_ATTEMPTED,RED_FIGHTER_TD_PERCENT,RED_FIGHTER_SUB_ATTEMPTS,RED_FIGHTER_REVERSALS,RED_FIGHTER_CONTROL_TIME,BLUE_FIGHTER_KD,BLUE_FIGHTER_SS_LANDED,BLUE_FIGHTER_SS_ATTEMPTED,BLUE_FIGHTER_SS_PERCENT,BLUE_FIGHTER_TS_LANDED,BLUE_FIGHTER_TS_ATTEMPTED,BLUE_FIGHTER_TD_LANDED,BLUE_FIGHTER_TD_ATTEMPTED,BLUE_FIGHTER_TD_PERCENT,BLUE_FIGHTER_SUB_ATTEMPTS,BLUE_FIGHTER_REVERSALS,BLUE_FIGHTER_CONTROL_TIME,RED_FIGHTER_KD_R1,RED_FIGHTER_SS_LANDED_R1,RED_FIGHTER_SS_ATTEMPTED_R1,RED_FIGHTER_SS_PERCENT_R1,RED_FIGHTER_TS_LANDED_R1,RED_FIGHTER_TS_ATTEMPTED_R1,RED_FIGHTER_TD_LANDED_R1,RED_FIGHTER_TD_ATTEMPTED_R1,RED_FIGHTER_TD_PERCENT_R1,RED_FIGHTER_SUB_ATTEMPTS_R1,RED_FIGHTER_REVERSALS_R1,RED_FIGHTER_CONTROL_TIME_R1,BLUE_FIGHTER_KD_R1,BLUE_FIGHTER_SS_LANDED_R1,BLUE_FIGHTER_SS_ATTEMPTED_R1,BLUE_FIGHTER_SS_PERCENT_R1,BLUE_FIGHTER_TS_LANDED_R1,BLUE_FIGHTER_TS_ATTEMPTED_R1,BLUE_FIGHTER_TD_LANDED_R1,BLUE_FIGHTER_TD_ATTEMPTED_R1,BLUE_FIGHTER_TD_PERCENT_R1,BLUE_FIGHTER_SUB_ATTEMPTS_R1,BLUE_FIGHTER_REVERSALS_R1,BLUE_FIGHTER_CONTROL_TIME_R1,RED_FIGHTER_KD_R2,RED_FIGHTER_SS_LANDED_R2,RED_FIGHTER_SS_ATTEMPTED_R2,RED_FIGHTER_SS_PERCENT_R2,RED_FIGHTER_TS_LANDED_R2,RED_FIGHTER_TS_ATTEMPTED_R2,RED_FIGHTER_TD_LANDED_R2,RED_FIGHTER_TD_ATTEMPTED_R2,RED_FIGHTER_TD_PERCENT_R2,RED_FIGHTER_SUB_ATTEMPTS_R2,RED_FIGHTER_REVERSALS_R2,RED_FIGHTER_CONTROL_TIME_R2,BLUE_FIGHTER_KD_R2,BLUE_FIGHTER_SS_LANDED_R2,BLUE_FIGHTER_SS_ATTEMPTED_R2,BLUE_FIGHTER_SS_PERCENT_R2,BLUE_FIGHTER_TS_LANDED_R2,BLUE_FIGHTER_TS_ATTEMPTED_R2,BLUE_FIGHTER_TD_LANDED_R2,BLUE_FIGHTER_TD_ATTEMPTED_R2,BLUE_FIGHTER_TD_PERCENT_R2,BLUE_FIGHTER_SUB_ATTEMPTS_R2,BLUE_FIGHTER_REVERSALS_R2,BLUE_FIGHTER_CONTROL_TIME_R2,RED_FIGHTER_KD_R3,RED_FIGHTER_SS_LANDED_R3,RED_FIGHTER_SS_ATTEMPTED_R3,RED_FIGHTER_SS_PERCENT_R3,RED_FIGHTER_TS_LANDED_R3,RED_FIGHTER_TS_ATTEMPTED_R3,RED_FIGHTER_TD_LANDED_R3,RED_FIGHTER_TD_ATTEMPTED_R3,RED_FIGHTER_TD_PERCENT_R3,RED_FIGHTER_SUB_ATTEMPTS_R3,RED_FIGHTER_REVERSALS_R3,RED_FIGHTER_CONTROL_TIME_R3,BLUE_FIGHTER_KD_R3,BLUE_FIGHTER_SS_LANDED_R3,BLUE_FIGHTER_SS_ATTEMPTED_R3,BLUE_FIGHTER_SS_PERCENT_R3,BLUE_FIGHTER_TS_LANDED_R3,BLUE_FIGHTER_TS_ATTEMPTED_R3,BLUE_FIGHTER_TD_LANDED_R3,BLUE_FIGHTER_TD_ATTEMPTED_R3,BLUE_FIGHTER_TD_PERCENT_R3,BLUE_FIGHTER_SUB_ATTEMPTS_R3,BLUE_FIGHTER_REVERSALS_R3,BLUE_FIGHTER_CONTROL_TIME_R3,RED_FIGHTER_KD_R4,RED_FIGHTER_SS_LANDED_R4,RED_FIGHTER_SS_ATTEMPTED_R4,RED_FIGHTER_SS_PERCENT_R4,RED_FIGHTER_TS_LANDED_R4,RED_FIGHTER_TS_ATTEMPTED_R4,RED_FIGHTER_TD_LANDED_R4,RED_FIGHTER_TD_ATTEMPTED_R4,RED_FIGHTER_TD_PERCENT_R4,RED_FIGHTER_SUB_ATTEMPTS_R4,RED_FIGHTER_REVERSALS_R4,RED_FIGHTER_CONTROL_TIME_R4,BLUE_FIGHTER_KD_R4,BLUE_FIGHTER_SS_LANDED_R4,BLUE_FIGHTER_SS_ATTEMPTED_R4,BLUE_FIGHTER_SS_PERCENT_R4,BLUE_FIGHTER_TS_LANDED_R4,BLUE_FIGHTER_TS_ATTEMPTED_R4,BLUE_FIGHTER_TD_LANDED_R4,BLUE_FIGHTER_TD_ATTEMPTED_R4,BLUE_FIGHTER_TD_PERCENT_R4,BLUE_FIGHTER_SUB_ATTEMPTS_R4,BLUE_FIGHTER_REVERSALS_R4,BLUE_FIGHTER_CONTROL_TIME_R4,RED_FIGHTER_KD_R5,RED_FIGHTER_SS_LANDED_R5,RED_FIGHTER_SS_ATTEMPTED_R5,RED_FIGHTER_SS_PERCENT_R5,RED_FIGHTER_TS_LANDED_R5,RED_FIGHTER_TS_ATTEMPTED_R5,RED_FIGHTER_TD_LANDED_R5,RED_FIGHTER_TD_ATTEMPTED_R5,RED_FIGHTER_TD_PERCENT_R5,RED_FIGHTER_SUB_ATTEMPTS_R5,RED_FIGHTER_REVERSALS_R5,RED_FIGHTER_CONTROL_TIME_R5,BLUE_FIGHTER_KD_R5,BLUE_FIGHTER_SS_LANDED_R5,BLUE_FIGHTER_SS_ATTEMPTED_R5,BLUE_FIGHTER_SS_PERCENT_R5,BLUE_FIGHTER_TS_LANDED_R5,BLUE_FIGHTER_TS_ATTEMPTED_R5,BLUE_FIGHTER_TD_LANDED_R5,BLUE_FIGHTER_TD_ATTEMPTED_R5,BLUE_FIGHTER_TD_PERCENT_R5,BLUE_FIGHTER_SUB_ATTEMPTS_R5,BLUE_FIGHTER_REVERSALS_R5,BLUE_FIGHTER_CONTROL_TIME_R5,RED_FIGHTER_SS2_LANDED,RED_FIGHTER_SS2_ATTEMPTED,RED_FIGHTER_SS2_PERCENT,RED_FIGHTER_SS_HEAD_LANDED,RED_FIGHTER_SS_HEAD_ATTEMPTED,RED_FIGHTER_SS_BODY_LANDED,RED_FIGHTER_SS_BODY_ATTEMPTED,RED_FIGHTER_SS_LEG_LANDED,RED_FIGHTER_SS_LEG_ATTEMPTED,RED_FIGHTER_SS_DISTANCE_LANDED,RED_FIGHTER_SS_DISTANCE_ATTEMPTED,RED_FIGHTER_SS_CLINCH_LANDED,RED_FIGHTER_SS_CLINCH_ATTEMPTED,RED_FIGHTER_SS_GROUND_LANDED,RED_FIGHTER_SS_GROUND_ATTEMPTED,BLUE_FIGHTER_SS2_LANDED,BLUE_FIGHTER_SS2_ATTEMPTED,BLUE_FIGHTER_SS2_PERCENT,BLUE_FIGHTER_SS_HEAD_LANDED,BLUE_FIGHTER_SS_HEAD_ATTEMPTED,BLUE_FIGHTER_SS_BODY_LANDED,BLUE_FIGHTER_SS_BODY_ATTEMPTED,BLUE_FIGHTER_SS_LEG_LANDED,BLUE_FIGHTER_SS_LEG_ATTEMPTED,BLUE_FIGHTER_SS_DISTANCE_LANDED,BLUE_FIGHTER_SS_DISTANCE_ATTEMPTED,BLUE_FIGHTER_SS_CLINCH_LANDED,BLUE_FIGHTER_SS_CLINCH_ATTEMPTED,BLUE_FIGHTER_SS_GROUND_LANDED,BLUE_FIGHTER_SS_GROUND_ATTEMPTED,RED_FIGHTER_SS2_LANDED_R1,RED_FIGHTER_SS2_ATTEMPTED_R1,RED_FIGHTER_SS2_PERCENT_R1,RED_FIGHTER_SS_HEAD_LANDED_R1,RED_FIGHTER_SS_HEAD_ATTEMPTED_R1,RED_FIGHTER_SS_BODY_LANDED_R1,RED_FIGHTER_SS_BODY_ATTEMPTED_R1,RED_FIGHTER_SS_LEG_LANDED_R1,RED_FIGHTER_SS_LEG_ATTEMPTED_R1,RED_FIGHTER_SS_DISTANCE_LANDED_R1,RED_FIGHTER_SS_DISTANCE_ATTEMPTED_R1,RED_FIGHTER_SS_CLINCH_LANDED_R1,RED_FIGHTER_SS_CLINCH_ATTEMPTED_R1,RED_FIGHTER_SS_GROUND_LANDED_R1,RED_FIGHTER_SS_GROUND_ATTEMPTED_R1,BLUE_FIGHTER_SS2_LANDED_R1,BLUE_FIGHTER_SS2_ATTEMPTED_R1,BLUE_FIGHTER_SS2_PERCENT_R1,BLUE_FIGHTER_SS_HEAD_LANDED_R1,BLUE_FIGHTER_SS_HEAD_ATTEMPTED_R1,BLUE_FIGHTER_SS_BODY_LANDED_R1,BLUE_FIGHTER_SS_BODY_ATTEMPTED_R1,BLUE_FIGHTER_SS_LEG_LANDED_R1,BLUE_FIGHTER_SS_LEG_ATTEMPTED_R1,BLUE_FIGHTER_SS_DISTANCE_LANDED_R1,BLUE_FIGHTER_SS_DISTANCE_ATTEMPTED_R1,BLUE_FIGHTER_SS_CLINCH_LANDED_R1,BLUE_FIGHTER_SS_CLINCH_ATTEMPTED_R1,BLUE_FIGHTER_SS_GROUND_LANDED_R1,BLUE_FIGHTER_SS_GROUND_ATTEMPTED_R1,RED_FIGHTER_SS2_LANDED_R2,RED_FIGHTER_SS2_ATTEMPTED_R2,RED_FIGHTER_SS2_PERCENT_R2,RED_FIGHTER_SS_HEAD_LANDED_R2,RED_FIGHTER_SS_HEAD_ATTEMPTED_R2,RED_FIGHTER_SS_BODY_LANDED_R2,RED_FIGHTER_SS_BODY_ATTEMPTED_R2,RED_FIGHTER_SS_LEG_LANDED_R2,RED_FIGHTER_SS_LEG_ATTEMPTED_R2,RED_FIGHTER_SS_DISTANCE_LANDED_R2,RED_FIGHTER_SS_DISTANCE_ATTEMPTED_R2,RED_FIGHTER_SS_CLINCH_LANDED_R2,RED_FIGHTER_SS_CLINCH_ATTEMPTED_R2,RED_FIGHTER_SS_GROUND_LANDED_R2,RED_FIGHTER_SS_GROUND_ATTEMPTED_R2,BLUE_FIGHTER_SS2_LANDED_R2,BLUE_FIGHTER_SS2_ATTEMPTED_R2,BLUE_FIGHTER_SS2_PERCENT_R2,BLUE_FIGHTER_SS_HEAD_LANDED_R2,BLUE_FIGHTER_SS_HEAD_ATTEMPTED_R2,BLUE_FIGHTER_SS_BODY_LANDED_R2,BLUE_FIGHTER_SS_BODY_ATTEMPTED_R2,BLUE_FIGHTER_SS_LEG_LANDED_R2,BLUE_FIGHTER_SS_LEG_ATTEMPTED_R2,BLUE_FIGHTER_SS_DISTANCE_LANDED_R2,BLUE_FIGHTER_SS_DISTANCE_ATTEMPTED_R2,BLUE_FIGHTER_SS_CLINCH_LANDED_R2,BLUE_FIGHTER_SS_CLINCH_ATTEMPTED_R2,BLUE_FIGHTER_SS_GROUND_LANDED_R2,BLUE_FIGHTER_SS_GROUND_ATTEMPTED_R2,RED_FIGHTER_SS2_LANDED_R3,RED_FIGHTER_SS2_ATTEMPTED_R3,RED_FIGHTER_SS2_PERCENT_R3,RED_FIGHTER_SS_HEAD_LANDED_R3,RED_FIGHTER_SS_HEAD_ATTEMPTED_R3,RED_FIGHTER_SS_BODY_LANDED_R3,RED_FIGHTER_SS_BODY_ATTEMPTED_R3,RED_FIGHTER_SS_LEG_LANDED_R3,RED_FIGHTER_SS_LEG_ATTEMPTED_R3,RED_FIGHTER_SS_DISTANCE_LANDED_R3,RED_FIGHTER_SS_DISTANCE_ATTEMPTED_R3,RED_FIGHTER_SS_CLINCH_LANDED_R3,RED_FIGHTER_SS_CLINCH_ATTEMPTED_R3,RED_FIGHTER_SS_GROUND_LANDED_R3,RED_FIGHTER_SS_GROUND_ATTEMPTED_R3,BLUE_FIGHTER_SS2_LANDED_R3,BLUE_FIGHTER_SS2_ATTEMPTED_R3,BLUE_FIGHTER_SS2_PERCENT_R3,BLUE_FIGHTER_SS_HEAD_LANDED_R3,BLUE_FIGHTER_SS_HEAD_ATTEMPTED_R3,BLUE_FIGHTER_SS_BODY_LANDED_R3,BLUE_FIGHTER_SS_BODY_ATTEMPTED_R3,BLUE_FIGHTER_SS_LEG_LANDED_R3,BLUE_FIGHTER_SS_LEG_ATTEMPTED_R3,BLUE_FIGHTER_SS_DISTANCE_LANDED_R3,BLUE_FIGHTER_SS_DISTANCE_ATTEMPTED_R3,BLUE_FIGHTER_SS_CLINCH_LANDED_R3,BLUE_FIGHTER_SS_CLINCH_ATTEMPTED_R3,BLUE_FIGHTER_SS_GROUND_LANDED_R3,BLUE_FIGHTER_SS_GROUND_ATTEMPTED_R3,RED_FIGHTER_SS2_LANDED_R4,RED_FIGHTER_SS2_ATTEMPTED_R4,RED_FIGHTER_SS2_PERCENT_R4,RED_FIGHTER_SS_HEAD_LANDED_R4,RED_FIGHTER_SS_HEAD_ATTEMPTED_R4,RED_FIGHTER_SS_BODY_LANDED_R4,RED_FIGHTER_SS_BODY_ATTEMPTED_R4,RED_FIGHTER_SS_LEG_LANDED_R4,RED_FIGHTER_SS_LEG_ATTEMPTED_R4,RED_FIGHTER_SS_DISTANCE_LANDED_R4,RED_FIGHTER_SS_DISTANCE_ATTEMPTED_R4,RED_FIGHTER_SS_CLINCH_LANDED_R4,RED_FIGHTER_SS_CLINCH_ATTEMPTED_R4,RED_FIGHTER_SS_GROUND_LANDED_R4,RED_FIGHTER_SS_GROUND_ATTEMPTED_R4,BLUE_FIGHTER_SS2_LANDED_R4,BLUE_FIGHTER_SS2_ATTEMPTED_R4,BLUE_FIGHTER_SS2_PERCENT_R4,BLUE_FIGHTER_SS_HEAD_LANDED_R4,BLUE_FIGHTER_SS_HEAD_ATTEMPTED_R4,BLUE_FIGHTER_SS_BODY_LANDED_R4,BLUE_FIGHTER_SS_BODY_ATTEMPTED_R4,BLUE_FIGHTER_SS_LEG_LANDED_R4,BLUE_FIGHTER_SS_LEG_ATTEMPTED_R4,BLUE_FIGHTER_SS_DISTANCE_LANDED_R4,BLUE_FIGHTER_SS_DISTANCE_ATTEMPTED_R4,BLUE_FIGHTER_SS_CLINCH_LANDED_R4,BLUE_FIGHTER_SS_CLINCH_ATTEMPTED_R4,BLUE_FIGHTER_SS_GROUND_LANDED_R4,BLUE_FIGHTER_SS_GROUND_ATTEMPTED_R4,RED_FIGHTER_SS2_LANDED_R5,RED_FIGHTER_SS2_ATTEMPTED_R5,RED_FIGHTER_SS2_PERCENT_R5,RED_FIGHTER_SS_HEAD_LANDED_R5,RED_FIGHTER_SS_HEAD_ATTEMPTED_R5,RED_FIGHTER_SS_BODY_LANDED_R5,RED_FIGHTER_SS_BODY_ATTEMPTED_R5,RED_FIGHTER_SS_LEG_LANDED_R5,RED_FIGHTER_SS_LEG_ATTEMPTED_R5,RED_FIGHTER_SS_DISTANCE_LANDED_R5,RED_FIGHTER_SS_DISTANCE_ATTEMPTED_R5,RED_FIGHTER_SS_CLINCH_LANDED_R5,RED_FIGHTER_SS_CLINCH_ATTEMPTED_R5,RED_FIGHTER_SS_GROUND_LANDED_R5,RED_FIGHTER_SS_GROUND_ATTEMPTED_R5,BLUE_FIGHTER_SS2_LANDED_R5,BLUE_FIGHTER_SS2_ATTEMPTED_R5,BLUE_FIGHTER_SS2_PERCENT_R5,BLUE_FIGHTER_SS_HEAD_LANDED_R5,BLUE_FIGHTER_SS_HEAD_ATTEMPTED_R5,BLUE_FIGHTER_SS_BODY_LANDED_R5,BLUE_FIGHTER_SS_BODY_ATTEMPTED_R5,BLUE_FIGHTER_SS_LEG_LANDED_R5,BLUE_FIGHTER_SS_LEG_ATTEMPTED_R5,BLUE_FIGHTER_SS_DISTANCE_LANDED_R5,BLUE_FIGHTER_SS_DISTANCE_ATTEMPTED_R5,BLUE_FIGHTER_SS_CLINCH_LANDED_R5,BLUE_FIGHTER_SS_CLINCH_ATTEMPTED_R5,BLUE_FIGHTER_SS_GROUND_LANDED_R5,BLUE_FIGHTER_SS_GROUND_ATTEMPTED_R5
UFC Fight Night: Holloway vs. Allen,Max Holloway vs. Arnold Allen,Featherweight,5,Max Holloway,U-DEC,5,5:00,Max Holloway,Arnold Allen,0,147,262,56%,149,264,0,0,---,0,0,0:03,0,76,225,33%,80,229,0,0,---,0,0,0:42,0,27,62,43%,27,62,0,0,---,0,0,0:00,0,11,33,33%,11,33,0,0,---,0,0,0:00,0,25,49,51%,25,49,0,0,---,0,0,0:00,0,19,42,45%,19,42,0,0,---,0,0,0:00,0,33,51,64%,33,51,0,0,---,0,0,0:00,0,14,45,31%,14,45,0,0,---,0,0,0:00,0,29,52,55%,29,52,0,0,---,0,0,0:00,0,12,39,30%,12,39,0,0,---,0,0,0:00,0,33,48,68%,35,50,0,0,---,0,0,0:03,0,20,66,30%,24,70,0,0,---,0,0,0:42,147,262,56%,77,180,42,48,28,34,146,261,1,1,0,0,76,225,33%,48,173,18,36,10,16,76,225,0,0,0,0,27,62,43%,13,46,9,11,5,5,27,62,0,0,0,0,11,33,33%,4,21,2,4,5,8,11,33,0,0,0,0,25,49,51%,11,30,8,9,6,10,25,49,0,0,0,0,19,42,45%,10,26,6,12,3,4,19,42,0,0,0,0,33,51,64%,20,37,7,7,6,7,33,51,0,0,0,0,14,45,31%,11,39,3,5,0,1,14,45,0,0,0,0,29,52,55%,12,33,10,12,7,7,29,52,0,0,0,0,12,39,30%,6,31,5,6,1,2,12,39,0,0,0,0,33,48,68%,21,34,8,9,4,5,32,47,1,1,0,0,20,66,30%,17,56,2,9,1,1,20,66,0,0,0,0
UFC Fight Night: Holloway vs. Allen,Edson Barboza vs. Billy Quarantillo,Featherweight,3,Edson Barboza,KO/TKO,1,2:37,Edson Barboza,Billy Quarantillo,1,21,33,63%,21,33,0,0,---,0,0,0:02,0,19,42,45%,20,43,0,2,0%,0,0,0:39,1,21,33,63%,21,33,0,0,---,0,0,0:02,0,19,42,45%,20,43,0,2,0%,0,0,0:39,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,21,33,63%,13,25,5,5,3,3,19,31,1,1,1,1,19,42,45%,16,38,1,2,2,2,18,41,1,1,0,0,21,33,63%,13,25,5,5,3,3,19,31,1,1,1,1,19,42,45%,16,38,1,2,2,2,18,41,1,1,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
UFC Fight Night: Holloway vs. Allen,Azamat Murzakanov vs. Dustin Jacoby,Light Heavyweight,3,Azamat Murzakanov,U-DEC,3,5:00,Dustin Jacoby,Azamat Murzakanov,0,64,131,48%,96,167,1,6,16%,0,0,3:06,1,67,127,52%,70,130,1,5,20%,0,0,0:16,0,19,39,48%,19,39,0,0,---,0,0,0:00,0,25,50,50%,25,50,1,1,100%,0,0,0:12,0,21,40,52%,37,56,0,1,0%,0,0,1:17,1,26,45,57%,29,48,0,1,0%,0,0,0:04,0,24,52,46%,40,72,1,5,20%,0,0,1:49,0,16,32,50%,16,32,0,3,0%,0,0,0:00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,64,131,48%,36,95,8,12,20,24,60,126,4,5,0,0,67,127,52%,51,110,12,13,4,4,64,122,3,5,0,0,19,39,48%,8,24,2,4,9,11,19,39,0,0,0,0,25,50,50%,20,44,4,5,1,1,25,48,0,2,0,0,21,40,52%,12,27,2,4,7,9,20,39,1,1,0,0,26,45,57%,20,39,5,5,1,1,24,43,2,2,0,0,24,52,46%,16,44,4,4,4,4,21,48,3,4,0,0,16,32,50%,11,27,3,3,2,2,15,31,1,1,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
UFC Fight Night: Holloway vs. Allen,Ion Cutelaba vs. Tanner Boser,Light Heavyweight,3,Ion Cutelaba,KO/TKO,1,2:05,Tanner Boser,Ion Cutelaba,0,5,16,31%,5,16,0,0,---,0,0,0:00,0,30,40,75%,30,40,1,1,100%,0,0,0:17,0,5,16,31%,5,16,0,0,---,0,0,0:00,0,30,40,75%,30,40,1,1,100%,0,0,0:17,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5,16,31%,5,15,0,1,0,0,5,16,0,0,0,0,30,40,75%,27,36,2,3,1,1,14,24,0,0,16,16,5,16,31%,5,15,0,1,0,0,5,16,0,0,0,0,30,40,75%,27,36,2,3,1,1,14,24,0,0,16,16,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
UFC Fight Night: Holloway vs. Allen,Pedro Munhoz vs. Chris Gutierrez,Bantamweight,3,Pedro Munhoz,U-DEC,3,5:00,Pedro Munhoz,Chris Gutierrez,1,60,174,34%,74,188,0,1,0%,0,0,2:54,0,77,133,57%,79,135,0,0,---,0,0,0:06,1,10,32,31%,20,42,0,0,---,0,0,2:51,0,14,23,60%,16,25,0,0,---,0,0,0:06,0,20,59,33%,20,59,0,0,---,0,0,0:00,0,24,47,51%,24,47,0,0,---,0,0,0:00,0,30,83,36%,34,87,0,1,0%,0,0,0:03,0,39,63,61%,39,63,0,0,---,0,0,0:00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,60,174,34%,20,104,6,19,34,51,52,160,1,1,7,13,77,133,57%,30,69,8,11,39,53,75,130,1,1,1,2,10,32,31%,9,21,1,5,0,6,3,20,1,1,6,11,14,23,60%,5,12,2,2,7,9,13,21,1,1,0,1,20,59,33%,3,32,0,5,17,22,20,59,0,0,0,0,24,47,51%,9,20,3,5,12,22,24,47,0,0,0,0,30,83,36%,8,51,5,9,17,23,29,81,0,0,1,2,39,63,61%,16,37,3,4,20,22,38,62,0,0,1,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
UFC Fight Night: Holloway vs. Allen,Rafa Garcia vs. Clay Guida,Lightweight,3,Rafa Garcia,U-DEC,3,5:00,Clay Guida,Rafa Garcia,0,63,252,25%,63,252,0,3,0%,0,0,0:00,0,141,287,49%,143,289,0,1,0%,0,0,0:20,0,23,92,25%,23,92,0,0,---,0,0,0:00,0,34,89,38%,34,89,0,0,---,0,0,0:00,0,21,88,23%,21,88,0,1,0%,0,0,0:00,0,65,110,59%,65,110,0,0,---,0,0,0:00,0,19,72,26%,19,72,0,2,0%,0,0,0:00,0,42,88,47%,44,90,0,1,0%,0,0,0:20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,63,252,25%,49,227,4,12,10,13,63,252,0,0,0,0,141,287,49%,130,269,5,12,6,6,138,284,3,3,0,0,23,92,25%,16,82,2,4,5,6,23,92,0,0,0,0,34,89,38%,29,81,1,4,4,4,34,89,0,0,0,0,21,88,23%,17,80,1,4,3,4,21,88,0,0,0,0,65,110,59%,63,107,2,3,0,0,62,107,3,3,0,0,19,72,26%,16,65,1,4,2,3,19,72,0,0,0,0,42,88,47%,38,81,2,5,2,2,42,88,0,0,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
UFC Fight Night: Holloway vs. Allen,Bill Algeo vs. TJ Brown,Featherweight,3,Bill Algeo,SUB,2,1:40,Bill Algeo,TJ Brown,1,64,110,58%,77,123,1,1,100%,1,0,1:42,0,46,91,50%,49,94,1,2,50%,0,1,0:39,0,45,85,52%,48,88,1,1,100%,0,0,1:03,0,39,77,50%,42,80,0,0,---,0,1,0:19,1,19,25,76%,29,35,0,0,---,1,0,0:39,0,7,14,50%,7,14,1,2,50%,0,0,0:20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,64,110,58%,44,81,6,13,14,16,48,94,5,5,11,11,46,91,50%,34,78,8,9,4,4,33,76,13,15,0,0,45,85,52%,26,59,6,12,13,14,43,83,2,2,0,0,39,77,50%,28,65,8,9,3,3,27,64,12,13,0,0,19,25,76%,18,22,0,1,1,2,5,11,3,3,11,11,7,14,50%,6,13,0,0,1,1,6,12,1,2,0,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
